timestamp,scan_time,trade_date,code,name,price,change_pct,market_status,decision,buy_count,sell_count,rebound_count,trend_count,consolidate_buy_count,position_ratio,atr,rsi_6,macd_dif,macd_dea,macd_bar,ma5,ma10,ma20,volume_ratio,buy_signals_detail,sell_signals_detail,decision_reason,weight_system,shadow_price,shadow_result_5d,shadow_result_10d,result_filled
2026-04-28T13:20:54.324526,13:20:54,2026-04-28,sz002801,微光股份,30.8,-3.114186851211068,弱势,WATCH,1,0,1,0,1,0.0,0.7527,11.38,-0.2574,-0.3272,0.0,31.804000000000002,32.131,31.447,0.0,"[""RSI=11.4<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T13:33:32.941950,13:33:32,2026-04-28,sz002997,瑞鹄模具,28.86,-2.6972353337828747,弱势,BUY,2,0,2,0,2,0.3,0.7873,4.88,-0.5343,-0.3779,0.0,30.086000000000002,31.020999999999997,30.857499999999998,0.0,"[""RSI=4.9<25拐头↑+局部低点+量能确认"", ""触及布林下轨(28.65)""]",[],[弱势] RSI=4.9<25拐头↑+局部低点+量能确认 + 触及布林下轨(28.65),old,,,,
2026-04-28T13:33:32.942246,13:33:32,2026-04-28,sh603596,伯特利,44.66,-5.740818910932895,弱势,WATCH,0,0,0,1,1,0.0,1.2619,36.64,-0.3519,-0.6166,0.0,46.33,46.172000000000004,45.4775,0.0,[],[],信号不足[0/2],old,,,,
2026-04-28T13:33:32.942401,13:33:32,2026-04-28,sz002801,微光股份,30.7,-3.428751179616231,弱势,WATCH,1,0,1,0,1,0.0,0.7637,10.94,-0.2654,-0.3288,0.0,31.784,32.120999999999995,31.442,0.0,"[""RSI=10.9<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T13:40:53.401389,13:40:53,2026-04-28,sz002997,瑞鹄模具,28.89,-2.5960890087660133,弱势,BUY,2,0,2,0,2,0.3,0.7873,4.93,-0.5319,-0.3774,0.0,30.092000000000002,31.024,30.858999999999998,0.0,"[""RSI=4.9<25拐头↑+局部低点+量能确认"", ""触及布林下轨(28.66)""]",[],[弱势] RSI=4.9<25拐头↑+局部低点+量能确认 + 触及布林下轨(28.66),old,,,,
2026-04-28T13:40:53.401660,13:40:53,2026-04-28,sh603596,伯特利,44.65,-5.7619248628113215,弱势,WATCH,0,0,0,1,1,0.0,1.2619,36.55,-0.3527,-0.6167,0.0,46.327999999999996,46.171,45.477,0.0,[],[],信号不足[0/2],old,,,,
2026-04-28T13:40:53.401821,13:40:53,2026-04-28,sz002801,微光股份,30.71,-3.39729474677571,弱势,WATCH,1,0,1,0,1,0.0,0.7733,10.98,-0.2646,-0.3286,0.0,31.786,32.122,31.4425,0.0,"[""RSI=11.0<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T13:50:52.221286,13:50:52,2026-04-28,sz002997,瑞鹄模具,28.85,-2.7309507754551543,弱势,BUY,2,0,2,0,2,0.3,0.7887,4.86,-0.5351,-0.3781,0.0,30.083999999999996,31.02,30.857,0.0,"[""RSI=4.9<25拐头↑+局部低点+量能确认"", ""触及布林下轨(28.65)""]",[],[弱势] RSI=4.9<25拐头↑+局部低点+量能确认 + 触及布林下轨(28.65),old,,,,
2026-04-28T13:50:52.221551,13:50:52,2026-04-28,sh603596,伯特利,44.57,-5.9307724778387545,弱势,WATCH,0,0,0,1,1,0.0,1.266,35.89,-0.3591,-0.618,0.0,46.312,46.163,45.473,0.0,[],[],信号不足[0/2],old,,,,
2026-04-28T13:50:52.221711,13:50:52,2026-04-28,sz002801,微光股份,30.66,-3.5545769109782923,弱势,WATCH,1,0,1,0,1,0.0,0.7733,10.77,-0.2686,-0.3294,0.0,31.776,32.117000000000004,31.44,0.0,"[""RSI=10.8<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T14:00:31.412625,14:00:31,2026-04-28,sz002997,瑞鹄模具,28.86,-2.6972353337828747,弱势,BUY,2,0,2,0,2,0.3,0.7969,4.88,-0.5343,-0.3779,0.0,30.086000000000002,31.020999999999997,30.857499999999998,0.0,"[""RSI=4.9<25拐头↑+局部低点+量能确认"", ""触及布林下轨(28.65)""]",[],[弱势] RSI=4.9<25拐头↑+局部低点+量能确认 + 触及布林下轨(28.65),old,,,,
2026-04-28T14:00:31.412915,14:00:31,2026-04-28,sh603596,伯特利,44.54,-5.9940903334740465,弱势,WATCH,0,0,0,1,1,0.0,1.2894,35.73,-0.3607,-0.6183,0.0,46.308,46.161,45.472,0.0,[],[],信号不足[0/2],old,,,,
2026-04-28T14:00:31.413071,14:00:31,2026-04-28,sz002801,微光股份,30.74,-3.3029254482541703,弱势,WATCH,1,0,1,0,1,0.0,0.7747,11.11,-0.2622,-0.3281,0.0,31.792,32.125,31.444,0.0,"[""RSI=11.1<35+局部低点""]",[],信号不足[1/2],old,,,,
2026-04-28T14:10:10.477171,14:10:10,2026-04-28,sz002997,瑞鹄模具,28.76,-3.034389750505727,弱势,BUY,2,0,2,0,2,0.3,0.8135,4.71,-0.5423,-0.3795,0.0,30.065999999999995,31.011000000000003,30.8525,0.0,"[""RSI=4.7<25拐头↑+局部低点+量能确认"", ""触及布林下轨(28.62)""]",[],[弱势] RSI=4.7<25拐头↑+局部低点+量能确认 + 触及布林下轨(28.62),old,,,,
2026-04-28T14:10:10.477467,14:10:10,2026-04-28,sh603596,伯特利,44.67,-5.719712959054455,弱势,WATCH,0,0,0,1,1,0.0,1.2894,36.72,-0.3511,-0.6164,0.0,46.332,46.173,45.478,0.0,[],[],信号不足[0/2],old,,,,
